ID, DateOfData, Variable01, Variable02, Variable03, Variable04, Variable05, Variable06, Variable07, Variable08, Variable09, Variable10, Variable11, Result01, Result02, Result03
280656,6/18/2018 18:42,2,,1,4,755,OH,,0,,,11661,1,0,0
280657,6/18/2018 18:41,2,,23,3,751,NY,,,,,,1,0,0
280658,6/18/2018 18:40,1,,1,4,775,CO,,,,,57699,2,1,0
280660,6/18/2018 18:41,2,,23,3,600,NV,52,,,,,1,0,0
280661,6/18/2018 18:41,2,,1,4,669,NJ,62,,,,,1,0,0
280663,6/18/2018 18:46,2,,23,3,689,CA,,0,,,22773,2.5,0,0
280664,6/18/2018 18:49,2,,1,4,660,MA,48,0,0.035,77.12,28612,1,1,1
280665,6/18/2018 18:50,1,2,105,1,726,MI,,1130,,,,1,0,0
280666,6/18/2018 18:51,2,,23,3,690,SC,67,0,-0.0077,2.3,14323,1,0,0
280667,6/18/2018 18:47,2,,23,3,678,NY,60,,,,,1,0,0
280668,6/18/2018 18:49,1,1,1,4,789,NY,,0,,,,1,0,0
280669,6/18/2018 18:50,2,,1,4,9002,KY,,,,,,1,0,0
280670,6/18/2018 18:55,2,,23,3,814,IA,60,0,-0.0183,123.38,34552.42,2.5,1,0
280671,6/18/2018 18:56,2,,1,4,599,TX,67,0,-0.0111,58.15,21016.73,2,1,1
280672,6/18/2018 18:59,2,,23,3,674,FL,45,0,0.0034,321.79,31900,2.5,0,0
280673,6/18/2018 18:59,2,,23,3,631,NJ,37,0,0.0717,91.31,6474,1,0,0
280674,6/18/2018 19:00,2,,23,3,682,MD,73,0,0.0179,75.35,,1,0,0
280675,6/18/2018 19:00,2,,1,4,744,WI,,0,,,10449,1,0,0
280676,6/18/2018 18:58,2,,1,4,556,CA,47,,,,,1,0,0
280677,6/18/2018 19:03,2,,23,3,729,MS,55,1580,0.0358,132.74,,1,0,0
280678,6/18/2018 19:03,2,,23,3,733,OH,25,0,0.0004,163.1,6467,1,0,0
280680,6/18/2018 19:03,2,,1,4,648,MN,76,0,0.0484,176.35,50299,1,1,0
280681,6/18/2018 19:04,2,,1,4,668,FL,61,10200,0.0163,356.82,,1,0,0
280682,6/18/2018 19:05,2,,32,3,738,PA,58,4940,-0.0519,112.79,29459,1,1,0
280683,6/18/2018 19:05,1,3,102,2,751,NC,,0,,,,1,0,0
280684,6/18/2018 19:05,2,,23,3,672,CA,64,0,-0.0001,89.28,,1,0,0
280685,6/18/2018 19:09,2,,23,3,666,NC,58,0,0.0157,104.17,,1,0,0
280686,6/18/2018 19:04,2,,1,4,541,SC,50,,,,,1,0,0
280687,6/18/2018 19:06,2,,69,3,563,CA,66,,,,,1,0,0
280688,6/18/2018 19:06,2,,69,3,563,CA,66,,,,,1,0,0
280689,6/18/2018 19:12,2,,23,3,719,CA,33,0,-0.0223,72.99,,1,0,0
