,ID,Variable01,Variable02,Variable03,Variable04,Variable05,Variable07,Variable08,Variable09,Variable10,Variable11,Result01,Result02,Result03,Region
0,256936.0,2.0,2.4773165209269044,23.0,3.0,606.0,72.0,0.0,-0.0087,-3.53,21547.0,1.0,0.0,0.0,WE
1,256937.0,2.0,1.618070172137183,23.0,3.0,660.0,64.0,130.0476441777547,0.04467578623414581,140.78510416965,18050.4,2.5,1.0,1.0,MT
2,256938.0,2.0,1.3167412398153997,23.0,3.0,699.0,25.0,0.0,0.0241,276.68,10097.123303235565,2.5,0.0,0.0,NE
3,256939.0,2.0,1.6485586867872044,23.0,3.0,653.0,27.0,0.0,0.1204,268.81,15751.575920113504,1.0,0.0,0.0,S
4,256940.0,2.0,2.9829648400878526,23.0,3.0,566.0,74.0,1138.9822308325602,0.039460635787606335,98.32070371685636,16296.154011345152,1.0,0.0,0.0,NE
5,256941.0,2.0,1.3397168234523387,23.0,3.0,691.0,40.0,0.0,0.0822,57.38,12745.464188217518,1.0,0.0,0.0,P
6,256942.0,2.0,2.9806749528620444,23.0,3.0,644.957442631182,54.80898608054914,81.16852127218026,0.08313906006789978,89.60944339359973,12587.37730237292,1.0,0.0,0.0,P
7,256943.0,2.0,2.662102722695136,23.0,3.0,600.0,66.0,702.7898114070655,0.008830090894854762,47.833268956869155,18127.870461505903,1.0,0.0,0.0,MW
8,256944.0,2.0,1.7713541641581605,23.0,3.0,716.0,60.481721075252764,480.0,0.04415779915466409,147.24102526604406,15758.33052950847,1.0,0.0,0.0,S
9,256945.0,2.0,1.7207649286831999,23.0,3.0,647.0,72.0,457.6199128006112,0.1537719815543337,162.09863660788076,17073.56594732966,1.0,0.0,0.0,S
10,256946.0,2.0,2.5638812326774176,23.0,3.0,601.0,16.0,0.0,0.1245,164.09,3811.0,1.0,0.0,0.0,P
11,256947.0,1.0,3.0,23.0,3.0,567.0,66.51120067770603,1045.7548294981402,0.061126313051113136,122.63208584262301,14863.170443258614,1.0,0.0,0.0,S
12,256948.0,2.0,1.824859981501303,23.0,3.0,697.0,53.0,670.0,-0.0082,134.69,15134.413305490158,2.5,0.0,0.0,NE
13,256949.0,2.0,1.2076303773872143,23.0,3.0,721.0,58.0,0.0,0.121,113.21,14050.0,1.0,1.0,0.0,S
14,256950.0,2.0,2.5067002090202397,23.0,3.0,617.0,51.0,2900.0,-0.0081,163.28,18211.0,2.5,1.0,0.0,MT
15,256951.0,2.0,1.2334988173906953,23.0,3.0,708.0,47.901746017716405,0.0,0.03520733476430957,164.43586189088825,957.0,1.0,0.0,0.0,S
16,256952.0,2.0,1.3493093739966686,23.0,3.0,683.0,62.0,153.66151429547776,0.013868638402241644,112.03579691354952,14179.11734060639,1.0,0.0,0.0,P
17,256953.0,2.0,0.999999943910242,23.0,3.0,698.0,57.0,0.0,0.0439,179.59,12598.781625269836,1.0,0.0,0.0,NE
18,256954.0,2.0,2.0702308953225717,23.0,3.0,643.0,68.0,160.0,0.1863,167.2,18508.89,3.0,1.0,1.0,S
19,256955.0,2.0,1.2743950485204159,23.0,3.0,691.0,49.0,0.0,-0.0219,58.17,13161.924543260233,1.0,0.0,0.0,NE
20,256956.0,2.0,2.9268329947490663,23.0,3.0,680.5402089996298,51.13114040335591,39.499556402176914,-0.0027147170738445222,92.88292730133773,7670.0,2.5,1.0,0.0,S
21,256957.0,2.0,2.5032166520996415,23.0,3.0,613.0,41.0,3160.0,0.0475,160.7,8529.0,1.0,0.0,0.0,S
22,256958.0,2.0,2.8918483789574796,23.0,3.0,650.1900373060735,46.28773673455783,58.10258337202178,0.0002115208801576483,97.04843706698405,26413.0,2.0,0.0,0.0,S
23,256959.0,2.0,2.8567019785824455,23.0,3.0,652.9672181157396,52.3684210772905,901.7529457951748,0.02930386374556415,107.03934634439702,21286.555475865807,1.0,0.0,0.0,MW
24,256960.0,2.0,1.2070131540195566,23.0,3.0,705.0,66.0,0.0,0.0143,88.54,25209.0,1.0,1.0,0.0,NE
25,256961.0,2.0,2.8661340113096947,23.0,3.0,577.0,35.0,1656.6453262966643,0.052610818746346676,146.53583203699813,21265.857099175217,1.0,0.0,0.0,NE
26,256962.0,2.0,2.7718389445399216,23.0,3.0,630.3995784378146,43.612903739874234,258.1832208743313,0.03796855967631539,72.09158969232585,21479.761801770033,1.0,0.0,0.0,S
27,256963.0,2.0,1.4086072964881484,23.0,3.0,663.0,52.98699654334709,52.780692063029456,0.10136088137312994,158.33403031149302,20119.837634975658,2.0,0.0,0.0,P
28,256964.0,2.0,1.1576638878775263,23.0,3.0,722.0,68.0,0.0,0.0587,24.64,15252.0,2.0,1.0,0.0,S
29,256965.0,2.0,2.6685131661355723,23.0,3.0,714.3543999209321,57.19690948067411,35.332973580705904,0.0545450697810167,39.54634317305778,25943.99919550249,1.0,0.0,0.0,S
30,256966.0,2.0,1.126256222747773,23.0,3.0,741.0,46.237132705478295,0.0,0.03308240458413167,149.14316133856002,29799.0,1.0,0.0,0.0,S
31,256967.0,2.0,1.313108314191526,23.0,3.0,673.0,48.0,117.1130396254121,0.013644700504721975,97.77010016477101,19155.598345191578,1.0,0.0,0.0,MT
32,257026.0,2.0,1.0264432414677203,1.0,4.0,642.0,46.0,0.0,-0.0276,155.95,19244.0,1.0,1.0,0.0,S
33,257027.0,2.0,1.0649747475992148,1.0,4.0,586.0,29.0,2980.0,0.0239,240.06,16956.59529837661,1.0,0.0,0.0,P
34,257028.0,2.0,1.005725551525501,1.0,4.0,811.0,45.13356911002374,0.0,0.04036230444135584,143.3029154714768,28449.0,1.0,0.0,0.0,S
35,257029.0,2.0,1.0217791471720912,1.0,4.0,620.0,79.0,0.0,0.0647,69.0,18670.0,2.0,0.0,0.0,S
36,257030.0,2.0,1.0268029373318635,1.0,4.0,648.0,57.27938075369765,27240.0,-0.0004575396563283548,503.43988041983914,17399.151478576816,1.0,0.0,0.0,P
37,257031.0,2.0,1.0108200102820228,1.0,4.0,640.0,59.0,41038.00585361074,0.0003491411388691181,129.84230746093505,19421.94238350734,1.0,0.0,0.0,P
38,257032.0,2.0,1.0142647793845174,1.0,4.0,612.0,38.0,35095.74219795204,0.00931447207233773,145.91064782075384,18154.53507250963,1.0,0.0,0.0,S
39,257033.0,2.0,1.010271342341793,1.0,4.0,678.0,52.81881103600748,188010.0,-0.001523042078037396,488.42993208165603,17383.860973939984,1.0,0.0,0.0,S
40,257034.0,2.0,1.0013417934619278,1.0,4.0,712.0,74.0,0.0,0.0025,76.14,44663.0,1.0,0.0,0.0,P
41,257035.0,2.0,0.9999999712207409,1.0,4.0,645.989357365771,51.6292109734881,33772.247676588166,0.011439159698364879,87.97073725174577,43330.57852550158,1.0,0.0,0.0,MT
42,257036.0,2.0,1.0032229856366943,1.0,4.0,579.0,32.0,6884.640284152437,0.01605075901770895,201.28286885771124,16937.212353486502,1.0,0.0,0.0,NE
43,257037.0,2.0,1.0017860564494379,1.0,4.0,633.0,43.0,5510.0,0.0399,129.24,17368.573267078653,1.0,0.0,0.0,S
44,257038.0,2.0,1.0006390788779225,1.0,4.0,570.0,60.0,1164.5486442236108,-0.0031907430364564683,59.66667556184683,17135.893764620938,1.0,0.0,0.0,NE
45,257039.0,1.0,1.0,1.0,4.0,608.2245228389046,50.91379304992188,42173.53095087593,0.03449470246421962,111.89024705734617,32345.76347773111,1.0,0.0,0.0,NE
46,257040.0,2.0,1.0005466084227863,1.0,4.0,608.0,47.0,29216.51623056755,0.01453656147050304,111.65281793170396,17595.792106727906,1.0,0.0,0.0,P
